GEOID,Civilian_EST,Tot1,Veteran_EST,Tot2
6037237201,2786,2839,53,2839
6037237202,3394,3460,66,3460
6037237300,3948,4135,187,4135
6037237401,2900,3001,101,3001
6037237402,2391,2501,110,2501
6037237500,2005,2024,19,2024
6037237600,2810,2894,84,2894
6037237710,2656,2690,34,2690
6037237720,2160,2205,45,2205
6037237800,2984,3184,200,3184
6037237900,3277,3404,127,3404
6037238000,4842,5004,162,5004
6037238100,3445,3663,218,3663
6037238200,3932,4151,219,4151
6037238310,3671,3756,85,3756
6037238320,2455,2486,31,2486
6037238400,4142,4503,361,4503
6037239201,2646,2674,28,2674
6037239202,3676,3693,17,3693
6037239310,2834,2869,35,2869
6037239320,2894,2920,26,2920
6037239330,2042,2049,7,2049
6037239501,2698,2716,18,2716
6037239502,2538,2602,64,2602
6037239601,2383,2442,59,2442
6037239602,2516,2557,41,2557
6037239701,3099,3110,11,3110
6037239702,2864,2910,46,2910
6037239801,2166,2187,21,2187
6037239802,3699,3751,52,3751
6037240010,2524,2540,16,2540
6037240020,3808,3941,133,3941
6037240200,3685,3711,26,3711
6037240300,3393,3440,47,3440
6037240401,3739,3776,37,3776
6037240402,2649,2723,74,2723
6037240500,4268,4328,60,4328
6037240600,4140,4162,22,4162
6037240700,4729,4738,9,4738
6037240800,3232,3277,45,3277
6037240900,3995,4107,112,4107
6037241001,3176,3229,53,3229
6037241002,2484,2587,103,2587
6037241110,2311,2330,19,2330
6037241120,3539,3644,105,3644
6037241201,2290,2346,56,2346
6037241202,3613,3752,139,3752
6037241300,1855,1875,20,1875
6037241400,2519,2534,15,2534
6037242000,2857,2982,125,2982
6037242100,1478,1478,0,1478
6037242200,4322,4353,31,4353
6037242300,3210,3264,54,3264
6037242600,3028,3052,24,3052
6037242700,3809,3874,65,3874
6037243000,4557,4595,38,4595
6037243100,3864,3915,51,3915
6037261101,2947,3045,98,3045
6037261102,3097,3309,212,3309
6037261200,3409,3553,144,3553
6037262100,2477,2574,97,2574
6037262200,3714,3849,135,3849
6037262301,2362,2424,62,2424
6037262302,2254,2320,66,2320
6037262303,2362,2484,122,2484
6037262400,2206,2336,130,2336
6037262501,2777,3011,234,3011
6037262601,2679,2783,104,2783
6037262604,4637,5044,407,5044
6037262704,2838,2942,104,2942
6037262706,2798,3052,254,3052
6037262802,2436,2531,95,2531
6037264000,2500,2672,172,2672
6037264102,2526,2608,82,2608
6037264103,2456,2508,52,2508
6037264301,4785,4917,132,4917
6037264302,5012,5181,169,5181
6037265100,2221,2461,240,2461
6037265201,2452,2516,64,2516
6037265202,3135,3224,89,3224
6037265301,10223,10223,0,10223
