GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Veteran_EST,Veteran_MOE,Veteran_EST_Percentage,Veteran_MOE_Percentage
6037570404,2429,175,37,81,1.5,0.9
6037575402,2736,204,37,84,1.4,1
6037601700,3825,433,37,89,1,1.3
6037185310,2457,320,38,28,1.5,1.1
6037187300,2843,266,38,28,1.3,1
6037189102,2822,173,38,29,1.3,1
6037194401,2293,242,38,31,1.7,1.1
6037195902,1695,153,38,32,2.2,1.9
6037203600,3728,374,38,33,1,1
6037209810,2140,236,38,34,1.8,1.5
6037211420,2877,267,38,35,1.3,1
6037213310,3050,336,38,36,1.2,1.5
6037243000,4557,571,38,43,0.8,0.7
6037294620,3449,298,38,47,1.1,1
6037403407,1704,178,38,53,2.2,1.6
6037404600,1016,101,38,53,3.7,1.4
6037460401,663,60,38,59,5.7,2.7
6037531502,2393,223,38,67,1.6,1.5
6037533901,4253,224,38,69,0.9,1
6037535606,1398,213,38,71,2.7,2.2
6037910812,263,71,38,126,14.4,8.5
6037120010,2039,170,39,16,1.9,1.1
6037124204,2155,270,39,20,1.8,2
6037219800,2270,183,39,38,1.7,1.3
6037402801,3069,241,39,52,1.3,1.2
6037541606,1720,176,39,73,2.3,1.5
6037542402,2340,222,39,73,1.7,0.9
6037554801,2370,223,39,80,1.6,1.4
6037601600,2946,293,39,89,1.3,1.5
6037900102,528,118,39,109,7.4,5.1
6037122122,1890,204,40,18,2.1,1.4
6037209402,2906,279,40,34,1.4,1.2
6037402804,2829,186,40,52,1.4,1.1
6037462302,2852,263,40,60,1.4,1
6037601202,2916,282,40,88,1.4,0.8
6037119341,2352,170,41,16,1.7,1
6037183221,2510,259,41,27,1.6,1.8
6037194500,1670,135,41,31,2.5,2
6037203500,2214,200,41,33,1.9,1.5
6037209401,2949,313,41,34,1.4,1.3
6037214700,2290,200,41,36,1.8,1.4
6037214902,2601,256,41,36,1.6,1.4
6037239602,2516,223,41,42,1.6,1.3
6037273300,2652,238,41,45,1.5,1.3
6037433401,2255,255,41,59,1.8,1.1
6037433901,4127,441,41,59,1,0.9
6037531301,3686,318,41,67,1.1,0.9
6037542103,2765,255,41,73,1.5,1
6037188100,3524,303,42,28,1.2,1.2
6037195901,1894,152,42,32,2.2,1.9
6037221120,2432,231,42,38,1.7,1
6037222100,3182,343,42,38,1.3,1.1
6037267200,5399,547,42,44,0.8,1.2
6037294610,3111,246,42,47,1.4,1
6037294701,2192,189,42,47,1.9,1.6
6037302104,3347,292,42,49,1.3,0.9
6037433101,1881,207,42,58,2.2,1.3
6037530601,2280,221,42,67,1.8,1.3
6037541603,2266,217,42,73,1.9,1.9
6037554203,2946,290,42,79,1.4,1.2
6037231800,3403,337,43,40,1.3,1.1
6037294520,2493,159,43,47,1.7,1.1
6037530802,2594,235,43,67,1.7,1.2
6037534101,1535,157,43,70,2.8,2.2
6037571600,1231,87,43,82,3.5,2.6
6037910714,2658,193,43,124,1.6,1.1
6037930301,798,196,43,161,5.4,3.5
6037117404,3630,315,44,15,1.2,0.9
6037122420,3240,275,44,18,1.4,1.3
6037123206,2135,132,44,18,2.1,1.3
6037123601,4204,286,44,19,1,1.2
6037124104,2084,170,44,20,2.1,1.3
6037128210,3619,282,44,22,1.2,1.2
6037128220,2465,280,44,22,1.8,1.4
6037191302,1887,177,44,30,2.3,1.4
6037191710,2239,202,44,30,2,1.6
6037203100,3105,260,44,33,1.4,1.4
6037214501,2330,158,44,36,1.9,1.6
6037219901,3374,286,44,38,1.3,1.2
6037271702,3434,269,44,45,1.3,0.8
6037301801,3996,298,44,49,1.1,0.9
6037481712,4820,414,44,62,0.9,0.7
6037127520,3170,289,45,21,1.4,1.8
6037192002,2402,264,45,30,1.9,2.2
6037195802,2259,204,45,31,2,1.5
6037208620,3455,277,45,34,1.3,1
6037211201,2362,272,45,35,1.9,1.5
6037221601,2299,249,45,38,2,1.5
6037237101,2710,239,45,41,1.7,1.5
6037237720,2160,295,45,41,2.1,1.5
6037240800,3232,328,45,42,1.4,1.1
6037296210,2272,339,45,47,2,1.3
6037402702,4067,332,45,52,1.1,0.9
6037405701,2874,310,45,54,1.6,1.2
6037204820,1639,203,46,33,2.8,1.8
6037211803,3066,314,46,35,1.5,1.1
6037221303,2218,183,46,38,2.1,1.5
6037229300,3662,295,46,39,1.3,1.1
6037239702,2864,279,46,42,1.6,1.3
6037402803,2167,167,46,52,2.1,1.6
6037500500,2266,245,46,64,2,1.1
6037502004,3094,227,46,65,1.5,0.9
6037535701,4396,373,46,71,1,1.3
6037620201,1376,119,46,93,3.3,2.7
6037203900,2266,247,47,33,2.1,3
6037212410,3704,309,47,36,1.3,1.4
