GEOID,Veteran_Percent_EST
6037262400,5.9
6037262501,8.4
6037262601,3.9
6037262604,8.8
6037262704,3.7
6037262706,9.1
6037262802,3.9
6037264000,6.9
6037264102,3.2
6037264103,2.1
6037264301,2.8
6037264302,3.4
6037265100,10.8
6037265201,2.6
6037265202,2.8
6037265301,0
6037265303,0.6
6037265304,0
6037265305,0
6037265410,1.5
6037265420,3.5
6037265510,2.3
6037265520,3.4
6037265601,4.3
6037265602,5.1
6037265700,3.5
6037267100,1.8
6037267200,0.8
6037267300,2.9
6037267402,1.2
6037267403,3
6037267404,1.8
6037267501,0.5
6037267502,1
6037267600,1.6
6037267700,1.2
6037267800,2.5
6037267901,7.9
6037267902,4.3
6037269000,3.1
6037269100,2.8
6037269300,3.5
6037269500,2.4
6037269601,2.5
6037269602,2.7
6037269700,1.9
6037269800,1.9
6037269903,1.8
6037269904,2.5
6037269905,2.3
6037269906,2.6
6037269907,0.5
6037270100,2.6
6037270200,3.1
6037270300,3.9
6037271100,3.3
6037271200,1.1
6037271300,2.7
6037271400,5.9
6037271500,6.8
6037271600,2.6
6037271701,4.3
6037271702,1.3
6037271801,2.5
6037271802,1.7
6037271901,3.4
6037271902,3.2
6037272100,3.6
6037272201,3.9
6037272202,1.1
6037272301,2.5
6037272302,4.2
6037273100,4.6
6037273200,3.1
6037273300,1.5
6037273402,3.2
6037273502,2.3
6037273600,1.4
6037273700,3.9
6037273800,3.6
6037273902,3.5
6037274100,3.9
6037274202,4.5
6037275101,0.4
6037275102,4.8
6037275200,2.6
6037275302,4.8
6037275311,4.1
6037275400,6.6
6037275500,1.9
6037275602,3.3
6037275603,6.9
6037276000,9
6037276100,6.2
6037276400,4.5
6037276500,1.2
6037276601,5.1
6037276603,5.3
6037276604,5.1
6037277000,5.3
6037277100,4.2
6037277200,2.4
6037277400,2.5
6037278001,4.7
6037278102,3.5
6037291110,4.3
6037291120,1.8
6037291130,3
6037291210,4.5
6037291220,2.7
6037291300,7.7
6037292000,1.2
6037293201,2.8
6037293202,2.2
6037293301,5.5
6037293302,3.2
6037293304,5.3
6037293306,4
6037293307,2.9
6037294110,4.6
6037294120,0.3
6037294200,2.4
6037294301,3.6
6037294302,3.2
6037294410,3.1
6037294421,3
6037294510,2.4
6037294520,1.7
6037294610,1.4
6037294620,1.1
6037294701,1.9
6037294810,1.3
6037294820,2.1
6037294830,0.7
6037294900,2.4
6037295103,6.9
6037296210,2
6037296220,2.4
6037296300,6
6037296401,4.3
6037296402,7.7
6037296500,2
6037296600,5.1
6037296901,2.7
6037296902,7.7
6037297000,8.2
6037297110,3.9
6037297120,2.2
6037297201,3.8
6037297202,4.6
6037297300,13.8
6037297400,7.9
6037297500,5.5
6037297601,19.6
6037297602,3
6037300100,6.9
6037300200,4.7
6037300301,3.9
6037300400,5.8
6037300501,3.9
6037300502,3
6037300600,3.4
6037300701,7.9
6037300702,1.2
6037300800,3.3
6037300901,5.9
6037300902,5.5
6037301000,2.4
6037301100,2.4
6037301203,2.1
6037301204,2.6
6037301205,4.2
6037301206,1.2
6037301300,3.7
6037301400,1.7
6037301501,2
6037301502,0.6
6037301601,3.1
6037301602,2.7
6037301701,2.7
6037301702,2.2
6037301801,1.1
6037301802,1
6037301900,2.2
6037302002,1.6
6037302003,1.5
6037302004,0.8
6037302102,1.9
