GEO_id2,Civilian_EST_Tot_Pop
6037407601,3168
6037407602,2926
6037407701,3630
6037407702,5246
6037407801,4257
6037407802,2909
6037407900,5270
6037408003,3743
6037408004,1831
6037408005,3792
6037408006,2772
6037408133,4442
6037408134,2327
6037408135,2986
6037408136,3062
6037408137,3140
6037408138,4068
6037408139,3026
6037408140,2836
6037408141,3962
6037408202,1570
6037408211,4899
6037408212,4447
6037408301,4404
6037408302,3355
6037408303,3619
6037408401,3376
6037408402,4988
6037408501,2531
6037408503,5340
6037408504,3884
6037408505,2087
6037408623,2522
6037408624,2684
6037408625,3119
6037408626,3970
6037408627,2828
6037408628,4562
6037408629,2235
6037408630,1947
6037408631,4265
6037408703,5429
6037408704,2600
6037408705,4534
6037408706,1528
6037408722,3853
6037408723,2465
6037408724,3761
6037408800,3191
6037430002,5553
6037430003,3828
6037430101,4194
6037430102,3782
6037430200,1004
6037430301,3645
6037430302,4408
6037430400,3689
6037430501,3245
6037430502,5625
6037430600,3628
6037430701,4289
6037430721,2792
6037430723,3389
6037430724,3784
6037430801,5216
6037430802,3514
6037430803,4357
6037430901,3490
6037430902,3785
6037431001,5750
6037431002,2559
6037431100,5496
6037431200,4808
6037431300,2207
6037431400,3361
6037431501,3662
6037431502,3318
6037431600,3455
6037431700,4804
6037431800,4804
6037431900,3504
6037432000,6306
6037432101,3303
6037432102,4554
6037432201,3747
6037432202,3545
6037432300,3498
6037432401,2906
6037432402,5401
6037432500,6964
6037432601,5662
6037432602,3730
6037432700,3940
6037432801,2206
6037432802,3915
6037432901,3517
6037432902,2743
6037433101,1881
6037433102,3685
6037433200,4774
6037433302,1176
6037433304,4026
6037433305,3869
6037433306,2418
6037433307,2433
6037433401,2255
6037433402,3413
6037433403,3358
6037433501,1364
6037433503,2257
6037433504,3427
6037433601,4254
6037433602,2310
6037433700,3180
6037433801,4548
6037433802,2808
6037433901,4127
6037433902,2520
6037434001,3143
6037434003,3441
6037434004,2078
6037460000,3804
6037460100,5065
6037460200,4658
6037460301,3399
6037460302,3809
6037460401,663
6037460501,4264
6037460502,3251
6037460600,3503
6037460700,3710
6037460800,2419
6037460900,5606
6037461000,5180
6037461100,3979
6037461200,3920
6037461300,5763
6037461400,2637
6037461501,3254
6037461502,5464
6037461600,4893
6037461700,1304
6037461901,4099
6037461902,1592
6037462001,2900
6037462002,3134
6037462100,4514
6037462201,3248
6037462202,2352
6037462301,3579
6037462302,2852
6037462400,3231
6037462500,5383
6037462600,1813
6037462700,4384
6037462800,2319
6037462900,3043
6037463000,1810
6037463101,2014
6037463102,2999
6037463200,2790
6037463300,1654
6037463400,4899
6037463500,5450
6037463601,5162
6037463602,5140
6037463700,2423
6037463800,3053
6037463900,2846
6037464000,4864
6037464100,5607
6037464200,4479
6037480002,2786
6037480011,4068
6037480012,3909
6037480101,3162
6037480102,3801
6037480201,3044
6037480202,1948
6037480302,3888
6037480303,3089
6037480304,3719
6037480400,4483
6037480500,3940
6037480600,6104
6037480702,3438
6037480703,2779
6037480704,3539
6037480802,2763
6037480803,3131
6037480804,4092
6037480901,4242
6037480902,3167
6037480903,2453
6037481001,3602
6037481002,5026
6037481101,3699
6037481102,3149
6037481103,4057
6037481201,3004
6037481202,4769
6037481300,2828
6037481401,5424
6037481402,6159
6037481500,3809
6037481603,2898
6037481604,3154
6037481605,2417
6037481606,4101
6037481711,3764
6037481712,4820
6037481713,2478
6037481714,2302
6037481800,2386
6037481901,5103
6037481902,2671
6037482001,2388
6037482002,5343
6037482101,3870
6037482102,2505
6037482201,3269
6037482202,4208
6037482301,3726
6037482303,4705
6037482304,2829
6037482401,3073
6037482402,6006
6037482502,2672
6037482503,3469
6037482521,4709
6037482522,4058
6037482600,5680
6037482701,3608
6037482702,2147
6037482800,3594
6037500100,3194
6037500201,5376
6037500202,3795
6037500300,2619
6037500402,3382
6037500403,3168
6037500404,3891
6037500500,2266
6037500600,4339
6037500700,4992
6037500800,4063
6037500900,4503
6037501001,2650
6037501002,3920
6037501200,3767
6037501300,5353
6037501400,3185
6037501501,2042
6037501503,3929
6037501504,2723
6037501600,6315
6037501700,2648
6037501802,2771
6037501803,2985
6037501804,1486
6037501900,3168
6037502003,1996
6037502004,3094
6037502005,3570
6037502100,4180
6037502200,5138
6037502301,4662
6037502302,2298
6037502401,3977
6037502402,3019
6037502500,3071
6037502601,5664
6037502602,3494
6037502700,5296
6037502801,5003
6037502802,2435
6037502901,4441
6037502902,2999
6037503000,3795
6037503103,3903
6037503104,1825
6037503105,3133
6037503106,2720
6037503201,3268
6037503202,3876
6037503301,2415
6037503302,5168
6037503401,5094
6037503402,3158
6037503501,4760
6037503502,3276
6037503601,3374
6037503602,3550
6037503701,4103
6037503702,4144
6037503703,6634
6037503801,3051
6037503802,3951
6037503901,2305
6037503902,3498
6037504001,5181
6037504002,4004
6037504101,4110
6037504102,7
6037530003,2789
6037530004,3061
6037530005,3654
6037530006,3188
6037530101,4201
6037530102,4266
6037530202,3521
6037530203,2272
6037530204,2982
6037530301,1535
6037530302,5448
6037530400,2825
6037530500,3209
6037530601,2280
6037530602,1180
6037530700,1757
6037530801,3679
6037530802,2594
6037530901,2695
6037530902,3087
6037531000,3732
6037531101,3507
6037531102,2408
6037531201,3973
6037531202,3177
6037531301,3686
6037531302,4864
6037531502,2393
6037531503,1864
6037531504,2980
6037531602,3647
6037531603,2246
6037531604,2701
6037531701,4086
6037531702,3515
6037531800,3914
6037531901,4588
6037531902,3312
6037532001,2331
6037532002,2513
6037532101,4596
6037532102,3048
6037532200,4864
6037532302,3520
6037532303,3593
6037532304,3205
6037532400,45
6037532500,2952
6037532603,2211
6037532604,1943
6037532605,2828
6037532606,3365
6037532700,2234
6037532800,2591
6037532900,4643
6037533001,2985
6037533002,1871
6037533103,2182
6037533104,2868
6037533105,1770
6037533106,1211
6037533107,2474
6037533201,1999
6037533202,2032
6037533203,1397
6037533300,2241
6037533401,3902
6037533402,2837
6037533403,2187
6037533501,2241
6037533502,1479
6037533503,1527
6037533601,3241
6037533602,3863
6037533603,4859
6037533701,2218
6037533702,2670
6037533703,3131
6037533803,4396
6037533804,3401
6037533805,2734
6037533806,2488
6037533901,4253
6037533902,2720
6037534001,3595
6037534002,3228
6037534101,1535
6037534102,4363
6037534201,3034
6037534202,3783
6037534203,2398
6037534301,3162
6037534302,2420
6037534403,2209
6037534404,2543
6037534405,2713
6037534406,3306
6037534501,3949
6037534502,3525
6037534700,3625
6037534802,2285
6037534803,3418
6037534804,2896
6037534900,4422
6037535001,3040
6037535002,2563
6037535101,5444
6037535102,3368
6037535200,4383
6037535300,4177
6037535400,2058
6037535501,2653
6037535502,3773
6037535503,1764
6037535603,2565
6037535604,3079
6037535605,3327
6037535606,1398
6037535607,3367
6037535701,4396
6037535702,3781
6037535802,4968
6037535803,3344
6037535804,3909
6037535901,3923
6037535902,5262
6037536000,2668
6037536102,2580
6037536103,4317
6037536104,2958
6037536200,5359
6037540000,5165
6037540101,4872
6037540102,5103
6037540201,1361
6037540202,4689
6037540203,4096
6037540300,3789
6037540400,1652
6037540501,5354
6037540502,4301
6037540600,3112
6037540700,2400
6037540800,4521
6037540901,3488
6037540902,3846
6037541001,852
6037541002,2450
6037541100,2408
6037541200,4764
6037541300,4088
6037541400,4911
6037541500,4184
6037541603,2266
6037541604,4199
6037541605,3890
6037541606,1720
6037541700,4686
6037541801,3907
6037541802,3925
6037542000,3544
6037542103,2765
6037542104,2364
6037542105,3301
6037542106,2425
6037542200,5263
6037542401,3624
6037542402,2340
6037542501,3284
6037542502,3422
6037542601,2002
6037542602,4288
6037542700,4174
6037542800,2306
6037542900,2312
6037543000,3333
6037543100,5261
6037543201,2708
6037543202,3349
6037543304,4887
6037543305,2727
6037543306,6173
6037543321,4643
6037543322,5792
6037543400,3098
6037543501,5608
6037543502,3325
6037543503,4789
6037543601,2878
6037543602,6584
6037543603,3727
6037543604,4455
6037543701,2378
6037543702,5485
6037543703,2695
6037543801,4201
6037543802,5215
6037543903,2966
6037543905,3302
6037544001,3635
6037544002,2617
6037550000,1673
6037550100,5794
6037550201,2141
6037550202,4479
6037550300,6030
6037550400,1094
6037550500,6088
6037550601,4042
6037550602,3583
6037550700,5199
6037550800,5947
6037550901,2995
6037550902,4426
