GEOID,GEO_id2,Total_POP_EST
6037301100,6037301100,5753
6037301203,6037301203,3976
6037301204,6037301204,4685
6037301205,6037301205,1859
6037301206,6037301206,4453
6037301300,6037301300,1593
6037301400,6037301400,3196
6037301501,6037301501,1693
6037301502,6037301502,5657
6037301601,6037301601,5963
6037301602,6037301602,3620
6037301701,6037301701,2611
6037301702,6037301702,4820
6037301801,6037301801,4040
6037301802,6037301802,3385
6037301900,6037301900,6870
6037302002,6037302002,3252
6037302003,6037302003,3407
6037302004,6037302004,3729
6037302102,6037302102,5351
6037302103,6037302103,5068
6037302104,6037302104,3389
6037302201,6037302201,3151
6037302202,6037302202,4382
6037302301,6037302301,3695
6037302302,6037302302,4524
6037302401,6037302401,5476
6037302503,6037302503,3496
6037302504,6037302504,3504
6037302505,6037302505,3441
6037302506,6037302506,2963
6037310100,6037310100,5065
6037310201,6037310201,4559
6037310202,6037310202,4278
6037310300,6037310300,2352
6037310400,6037310400,2717
6037310501,6037310501,3239
6037310601,6037310601,5239
6037310602,6037310602,2292
6037310701,6037310701,2106
6037310702,6037310702,6385
6037310703,6037310703,4099
6037310800,6037310800,4338
6037310900,6037310900,5491
6037311000,6037311000,3036
6037311100,6037311100,3299
6037311200,6037311200,2787
6037311300,6037311300,3256
6037311400,6037311400,1999
6037311500,6037311500,4842
6037311600,6037311600,6217
6037311700,6037311700,5345
6037311801,6037311801,2494
6037311802,6037311802,3271
6037320000,6037320000,0
6037320100,6037320100,5835
6037320201,6037320201,3178
6037320202,6037320202,4357
6037320300,6037320300,5277
6037400204,6037400204,5017
6037400205,6037400205,2454
6037400206,6037400206,4429
6037400207,6037400207,3841
6037400302,6037400302,2566
6037400304,6037400304,6167
6037400402,6037400402,3537
6037400403,6037400403,3473
6037400404,6037400404,3899
