GEO_id2,Civilian_EST_Tot_Pop,Civilian_MOE_Tot_Pop,Civilian_Stadard_Error,Veteran_EST,Veteran_MOE,Veteran_Standard_Error
6037120105,2111,173,105.17,53,17,20.61
6037121221,1936,184,111.85,53,17,20.61
6037123103,3091,255,155.02,53,18,20.61
6037128101,2942,255,155.02,53,21,20.61
6037139504,3539,231,140.43,53,26,20.61
6037191820,2634,342,207.9,53,30,20.61
6037192520,3653,273,165.96,53,31,20.61
6037199400,3560,411,249.85,53,32,20.61
6037237201,2786,372,226.14,53,41,20.61
6037241001,3176,452,274.77,53,42,20.61
6037265420,1503,113,68.69,53,44,20.61
6037267404,2881,343,208.51,53,44,20.61
6037461400,2637,262,159.27,53,60,20.61
6037481606,4101,310,188.45,53,62,20.61
6037502302,2298,201,122.19,53,65,20.61
6037531901,4588,446,271.12,53,67,20.61
6037576401,3645,435,264.44,53,85,20.61
6037601301,1487,148,89.97,53,88,21.21
6037183620,2320,182,110.64,54,28,21.21
6037190801,2373,479,291.19,54,29,21.21
6037208710,3828,245,148.94,54,34,21.21
6037214901,2886,308,187.23,54,36,21.21
6037221304,2847,364,221.28,54,38,21.21
