GEO_id2,civ_std_err,tot_pop_std_err,vet_std_err,tot_pop_std_err2
6037433901,127.05,127.05,35.15,127.05
6037534101,127.05,127.05,41.82,127.05
6037552001,127.05,127.05,45.45,127.05
6037575803,127.05,127.05,50.3,127.05
6037602301,127.05,127.05,53.33,127.05
6037106643,127.66,127.66,3.64,127.66
6037124103,127.66,127.66,10.3,127.66
6037127910,127.66,127.66,11.52,127.66
6037141101,127.66,127.66,14.55,127.66
6037402405,127.66,127.66,30.91,127.66
6037406101,127.66,127.66,32.12,127.66
6037408800,127.66,127.66,33.33,127.66
6037463900,127.66,127.66,36.36,127.66
6037620201,127.66,127.66,55.15,127.66
6037125501,128.27,128.27,10.91,128.27
6037186202,128.27,128.27,15.76,128.27
6037221120,128.27,128.27,21.82,128.27
6037221602,128.27,128.27,21.82,128.27
6037240500,128.27,128.27,24.85,128.27
6037275101,128.27,128.27,27.27,128.27
6037291220,128.27,128.27,27.27,128.27
6037480903,128.27,128.27,36.97,128.27
6037543503,128.27,128.27,44.24,128.27
6037620001,128.27,128.27,55.15,128.27
6037117301,128.88,128.88,7.27,128.88
6037183222,128.88,128.88,15.76,128.88
6037215102,128.88,128.88,21.21,128.88
6037221110,128.88,128.88,21.82,128.88
6037277000,128.88,128.88,27.27,128.88
6037432601,128.88,128.88,34.55,128.88
6037534102,128.88,128.88,41.82,128.88
6037620501,128.88,128.88,55.76,128.88
6037910404,128.88,128.88,70.3,128.88
6037111206,129.48,129.48,6.67,129.48
6037124400,129.48,129.48,10.3,129.48
6037191901,129.48,129.48,17.58,129.48
6037216900,129.48,129.48,21.21,129.48
6037228720,129.48,129.48,23.03,129.48
6037265410,129.48,129.48,25.45,129.48
6037270300,129.48,129.48,26.67,129.48
6037480702,129.48,129.48,36.36,129.48
6037542401,129.48,129.48,43.64,129.48
6037670328,129.48,129.48,58.18,129.48
6037900104,129.48,129.48,64.24,129.48
6037115104,130.09,130.09,7.27,130.09
6037117101,130.09,130.09,7.27,130.09
6037128220,130.09,130.09,11.52,130.09
6037207101,130.09,130.09,19.39,130.09
6037262706,130.09,130.09,25.45,130.09
